Espécie;Comprimento do Abdômen;Comprimento das Antenas
Gafanhoto;0.5;7
Gafanhoto;0.5;6
Gafanhoto;0.6;5.5
Gafanhoto;0.65;4.5
Gafanhoto;0.54;3.2
Gafanhoto;3;2.2
Gafanhoto;2;1.75
Gafanhoto;1;1
Gafanhoto;1.1;0.89
Gafanhoto;1.2;1
Gafanhoto;1.4;1.5
Gafanhoto;2.7;5.5
Gafanhoto;0.5;1
Gafanhoto;0.9;4.7
Gafanhoto;1.1;3.1
Gafanhoto;2.9;1.9
Gafanhoto;2;4
Gafanhoto;1.52;4.76
Gafanhoto;1.2;2.5
Gafanhoto;2;4.7
Gafanhoto;2.4;3
Gafanhoto;3;4
Gafanhoto;3.6;4.1
Gafanhoto;1.79;5.5
Gafanhoto;1.64;3.3
Gafanhoto;1.12;5.2
Gafanhoto;2.6;4.3
Gafanhoto;2.54;4.1
Gafanhoto;2.46;4.24
Gafanhoto;2.2;4.4
Gafanhoto;2;3
Gafanhoto;1.2;4.07
Gafanhoto;1.5;6
Gafanhoto;1.2;1.7
Gafanhoto;0.78;2.1
Gafanhoto;1.79;2.7
Gafanhoto;2.8;3
Gafanhoto;2.45;2.3
Gafanhoto;1.7;4
Gafanhoto;2.22;3.78
Gafanhoto;1.67;3.5
Gafanhoto;1.43;3
Gafanhoto;2.78;3.6
Gafanhoto;2.64;4.12
Gafanhoto;2.42;3.89
Gafanhoto;2.37;3.76
Gafanhoto;1.98;4.3
Gafanhoto;1.5;2.2
Gafanhoto;1.3;3.6
Gafanhoto;1.2;4
Esperança;8.3;6.6
Esperança;8.1;4.7
Esperança;8;9.1
Esperança;5.4;8.5
Esperança;10;4.5
Esperança;9.5;5.5
Esperança;6.7;7.7
Esperança;6.87;7
Esperança;10;9.7
Esperança;9.54;8.76
Esperança;6;8.9
Esperança;7;9.5
Esperança;9;8.5
Esperança;8;8.2
Esperança;8.5;8.6
Esperança;6.7;6.9
Esperança;7.3;6.9
Esperança;7;8.5
Esperança;8.8;7.6
Esperança;8;7
Esperança;7;8
Esperança;8.2;8
Esperança;8.45;7.4
Esperança;7.64;8.2
Esperança;9.5;7
Esperança;9.24;6.7
Esperança;9;9
Esperança;9;7.4
Esperança;9.63;8
Esperança;7.7;7.9
Esperança;7.6;5.5
Esperança;8.2;6
Esperança;8.34;5.6
Esperança;8.74;6.2
Esperança;8.8;6.7
Esperança;8.69;5.7
Esperança;8.73;4.9
Esperança;6.7;6
Esperança;6.54;9
Esperança;7.2;8.9
Esperança;7.86;7.4
Esperança;7.33;6.22
Esperança;9.87;7
Esperança;7.12;6.6
Esperança;7.7;6.8
Esperança;9.75;6.2
Esperança;6.2;8.1
Esperança;9.2;4.7
Esperança;9.1;6
Esperança;8.29;7
